R1S01F1    0.055    0.255   -3.574    0.261    3.584
R1S01F2    0.035    0.349   -3.517    0.351    3.534
R1S01F3    0.442   -0.051    0.140    0.445    0.466
R1S02F1   -0.029    0.269   -3.564    0.271    3.574
R1S02F2   -0.010    0.328   -3.532    0.328    3.547
R1S02F3    0.440   -0.298    0.167    0.531    0.557
R1S03F1    0.039    0.160   -3.630    0.165    3.634
R1S03F2    0.098    0.188   -3.561    0.212    3.567
R1S03F3    0.284   -0.599    0.179    0.663    0.687
R1S04F1   -0.009    0.176   -3.619    0.176    3.623
R1S04F2    0.064    0.220   -3.558    0.229    3.565
R1S04F3    0.013   -0.634    0.121    0.634    0.645
R1S05F1   -0.023    0.229   -3.634    0.230    3.641
R1S05F2    0.042    0.191   -3.567    0.196    3.572
R1S05F3   -0.238   -0.541    0.130    0.591    0.605
R1S06F1    0.004    0.313   -3.697    0.313    3.710
R1S06F2    0.014    0.239   -3.624    0.239    3.632
R1S06F3   -0.309   -0.329    0.141    0.451    0.473
R1S07F1   -0.000   -0.000   -3.750    0.000    3.750
R1S07F2   -0.001    0.279   -3.699    0.279    3.709
R1S07F3   -0.216   -0.071    0.104    0.228    0.250
R1S08F1    0.130    0.368   -3.720    0.390    3.740
R1S08F2    0.041    0.360   -3.610    0.362    3.628
R1S08F3   -0.071    0.280    0.112    0.289    0.310
R1S09F1    0.008    0.322   -3.612    0.323    3.626
R1S09F2   -0.026    0.348   -3.703    0.349    3.719
R1S09F3    0.121    0.305    0.149    0.328    0.360
R1S10F1    0.022    0.309   -3.607    0.310    3.620
R1S10F2   -0.023    0.357   -3.603    0.358    3.621
R1S10F3    0.382    0.202    0.201    0.432    0.476
R2S01F1    0.041    0.256   -3.538    0.259    3.547
R2S01F2    0.031    0.319   -3.591    0.321    3.605
R2S01F3    0.318    0.450    0.186    0.551    0.582
R2S02F1    0.010    0.241   -3.509    0.241    3.517
R2S02F2    0.039    0.264   -3.566    0.267    3.576
R2S02F3    0.266    0.278    0.133    0.384    0.407
R2S03F1   -0.043    0.244   -3.527    0.247    3.536
R2S03F2    0.034    0.206   -3.477    0.209    3.483
R2S03F3    0.090    0.206    0.113    0.224    0.251
R2S04F1   -0.098    0.188   -3.564    0.213    3.570
R2S04F2   -0.058    0.220   -3.514    0.228    3.521
R2S04F3    0.020    0.074    0.126    0.076    0.147
R2S05F1   -0.026   -0.062   -3.712    0.068    3.713
R2S05F2    0.008   -0.034   -3.591    0.035    3.591
R2S05F3    0.003   -0.401    0.128    0.401    0.421
R2S06F1   -0.042   -0.030   -3.634    0.051    3.634
R2S06F2   -0.015   -0.054   -3.650    0.055    3.650
R2S06F3   -0.080   -0.248    0.128    0.260    0.290
R2S07F1   -0.111   -0.000   -3.722    0.111    3.724
R2S07F2   -0.064   -0.043   -3.643    0.077    3.644
R2S07F3   -0.245   -0.252    0.073    0.351    0.359
R2S08F1   -0.125    0.109   -3.735    0.166    3.739
R2S08F2   -0.075    0.046   -3.652    0.088    3.653
R2S08F3   -0.258   -0.102    0.123    0.277    0.303
R2S09F1   -0.144    0.234   -3.544    0.275    3.555
R2S09F2   -0.123    0.161   -3.627    0.202    3.633
R2S09F3   -0.277    0.500    0.197    0.571    0.604
R2S10F1   -0.092    0.301   -3.656    0.315    3.670
R2S10F2   -0.028    0.169   -3.666    0.171    3.670
R2S10F3   -0.121    0.131    0.076    0.178    0.194
R2S11F1   -0.026    0.297   -3.659    0.298    3.671
R2S11F2   -0.056    0.255   -3.698    0.261    3.707
R2S11F3   -0.111    0.333    0.073    0.351    0.359
R2S12F1   -0.028    0.317   -3.671    0.319    3.685
R2S12F2   -0.062    0.279   -3.611    0.286    3.622
R2S12F3    0.017    0.539    0.051    0.539    0.542
R2S13F1   -0.022    0.285   -3.609    0.286    3.620
R2S13F2   -0.058    0.299   -3.643    0.304    3.656
R2S13F3    0.170    0.525    0.101    0.552    0.561
R2S14F1   -0.003    0.285   -3.521    0.285    3.533
R2S14F2   -0.070    0.308   -3.659    0.315    3.673
R2S14F3    0.175    0.479    0.166    0.510    0.536
R3S01F1    0.078    0.084   -3.670    0.115    3.672
R3S01F2    0.077    0.168   -3.563    0.185    3.568
R3S01F3    0.044    0.168    0.124    0.174    0.213
R3S02F1    0.017    0.060   -3.582    0.062    3.583
R3S02F2    0.038    0.098   -3.618    0.105    3.620
R3S02F3    0.192    0.072    0.120    0.205    0.238
R3S03F1    0.022    0.025   -3.581    0.034    3.581
R3S03F2    0.044    0.061   -3.550    0.076    3.551
R3S03F3    0.137    0.004    0.169    0.137    0.218
R3S04F1    0.108   -0.150   -3.619    0.185    3.624
R3S04F2    0.135   -0.103   -3.519    0.170    3.523
R3S04F3    0.268   -0.216    0.201    0.344    0.399
R3S05F1    0.048   -0.149   -3.616    0.157    3.619
R3S05F2    0.106   -0.157   -3.536    0.189    3.541
R3S05F3    0.176   -0.329    0.194    0.373    0.420
R3S06F1    0.006   -0.177   -3.624    0.177    3.628
R3S06F2    0.064   -0.123   -3.513    0.139    3.516
R3S06F3    0.135   -0.338    0.177    0.364    0.404
R3S07F1   -0.043   -0.129   -3.554    0.136    3.557
R3S07F2   -0.006   -0.164   -3.602    0.164    3.606
R3S07F3    0.057   -0.286    0.247    0.292    0.382
R3S08F1   -0.112   -0.133   -3.569    0.174    3.573
R3S08F2   -0.066   -0.159   -3.553    0.172    3.557
R3S08F3   -0.042   -0.204    0.235    0.208    0.314
R3S09F1   -0.168   -0.086   -3.608    0.189    3.613
R3S09F2   -0.113   -0.128   -3.548    0.171    3.552
R3S09F3   -0.158   -0.244    0.228    0.291    0.369
R3S10F1   -0.204   -0.002   -3.631    0.204    3.637
R3S10F2   -0.174   -0.116   -3.538    0.209    3.544
R3S10F3   -0.217   -0.153    0.277    0.266    0.384
R3S11F1   -0.173    0.083   -3.729    0.192    3.734
R3S11F2   -0.195    0.034   -3.562    0.197    3.567
R3S11F3   -0.234   -0.028    0.231    0.236    0.330
R3S12F1   -0.148    0.117   -3.580    0.189    3.585
R3S12F2   -0.171    0.061   -3.591    0.182    3.596
R3S12F3   -0.130   -0.029    0.232    0.133    0.268
R3S13F1   -0.205    0.263   -3.722    0.333    3.737
R3S13F2   -0.191    0.125   -3.522    0.228    3.529
R3S13F3   -0.131    0.111    0.210    0.172    0.271
R3S14F1   -0.154    0.241   -3.635    0.286    3.646
R3S14F2   -0.182    0.229   -3.575    0.292    3.587
R3S14F3   -0.349    0.384    0.177    0.519    0.548
R3S15F1   -0.133    0.269   -3.557    0.300    3.570
R3S15F2   -0.191    0.245   -3.678    0.311    3.691
R3S15F3   -0.258    0.313    0.164    0.406    0.437
R3S16F1   -0.114    0.301   -3.577    0.322    3.591
R3S16F2   -0.160    0.287   -3.659    0.329    3.674
R3S16F3   -0.160    0.311    0.094    0.350    0.362
R3S17F1   -0.024    0.205   -3.572    0.207    3.578
R3S17F2   -0.061    0.271   -3.688    0.278    3.698
R3S17F3   -0.121    0.289    0.116    0.313    0.334
R3S18F1    0.042    0.188   -3.673    0.193    3.678
R3S18F2   -0.023    0.220   -3.613    0.221    3.620
R3S18F3    0.086    0.279    0.113    0.292    0.313
R4S01F1   -0.143   -0.343   -3.913    0.372    3.931
R4S01F2   -0.173   -0.369   -3.866    0.408    3.887
R4S01F3   -0.257    0.201   -0.128    0.326    0.350
R4S02F1   -0.153   -0.293   -3.856    0.331    3.870
R4S02F2   -0.187   -0.330   -3.912    0.380    3.930
R4S02F3   -0.249    0.256   -0.143    0.357    0.385
R4S03F1   -0.088   -0.259   -3.917    0.273    3.927
R4S03F2   -0.072   -0.343   -3.884    0.350    3.900
R4S03F3   -0.083    0.115   -0.185    0.142    0.233
R4S04F1   -0.075   -0.174   -3.935    0.190    3.940
R4S04F2   -0.094   -0.229   -3.874    0.248    3.882
R4S04F3   -0.149    0.093   -0.145    0.176    0.228
R4S05F1    0.048   -0.162   -3.952    0.169    3.956
R4S05F2   -0.016   -0.194   -3.903    0.195    3.908
R4S05F3   -0.123   -0.018   -0.212    0.124    0.246
R4S06F1    0.103   -0.095   -3.969    0.140    3.971
R4S06F2    0.044   -0.113   -3.940    0.122    3.942
R4S06F3   -0.187    0.094   -0.230    0.209    0.311
R4S07F1    0.170   -0.084   -3.967    0.190    3.972
R4S07F2    0.134   -0.114   -3.927    0.176    3.931
R4S07F3   -0.101    0.107   -0.227    0.147    0.271
R4S08F1    0.190   -0.105   -4.025    0.217    4.031
R4S08F2    0.183   -0.101   -3.984    0.209    3.989
R4S08F3   -0.026    0.048   -0.265    0.055    0.271
R4S09F1    0.214   -0.050   -3.966    0.220    3.972
R4S09F2    0.190   -0.036   -4.063    0.193    4.068
R4S09F3    0.103    0.002   -0.275    0.103    0.294
R4S10F1    0.228   -0.133   -4.060    0.264    4.069
R4S10F2    0.213   -0.114   -4.035    0.241    4.042
R4S10F3    0.191   -0.051   -0.277    0.198    0.340
R4S11F1    0.281   -0.176   -4.037    0.332    4.051
