R111	0.055	0.255	0.176
R112	0.035	0.349	0.233
R113	0.442	-0.051	0.140
R121	-0.029	0.269	0.186
R122	-0.010	0.328	0.218
R123	0.440	-0.298	0.167
R131	0.039	0.160	0.120
R132	0.098	0.188	0.189
R133	0.284	-0.599	0.179
R141	-0.009	0.176	0.131
R142	0.064	0.220	0.192
R143	0.013	-0.634	0.121
R151	-0.023	0.229	0.116
R152	0.042	0.191	0.183
R153	-0.238	-0.541	0.130
R161	0.004	0.313	0.053
R162	0.014	0.239	0.126
R163	-0.309	-0.329	0.141
R171	0.000	0.000	0.000
R172	-0.001	0.279	0.051
R173	-0.216	-0.071	0.104
R181	0.130	0.368	0.030
R182	0.041	0.360	0.140
R183	-0.071	0.280	0.112
R191	0.008	0.322	0.138
R192	-0.026	0.348	0.047
R193	0.121	0.305	0.149
R1101	0.022	0.309	0.143
R1102	-0.023	0.357	0.147
R1103	0.382	0.202	0.201
R211	0.042	0.256	0.212
R212	0.032	0.319	0.159
R213	0.317	0.450	0.186
R221	0.011	0.240	0.241
R222	0.041	0.264	0.184
R223	0.265	0.279	0.133
R231	-0.041	0.243	0.223
R232	0.035	0.205	0.273
R233	0.089	0.207	0.113
R241	-0.098	0.187	0.186
R242	-0.057	0.219	0.236
R243	0.020	0.075	0.126
R251	-0.026	-0.064	0.038
R252	0.008	-0.036	0.159
R253	0.003	-0.400	0.128
R261	-0.042	-0.031	0.116
R262	-0.015	-0.055	0.100
R263	-0.079	-0.247	0.128
R271	-0.112	-0.001	0.028
R272	-0.065	-0.043	0.107
R273	-0.243	-0.252	0.073
R281	-0.126	0.109	0.015
R282	-0.076	0.046	0.098
R283	-0.257	-0.102	0.123
R291	-0.145	0.235	0.206
R292	-0.125	0.161	0.123
R293	-0.276	0.499	0.197
R2101	-0.094	0.302	0.094
R2102	-0.029	0.170	0.084
R2103	-0.120	0.130	0.076
R2111	-0.026	0.298	0.091
R2112	-0.057	0.256	0.052
R2113	-0.111	0.332	0.073
R2121	-0.028	0.319	0.079
R2122	-0.062	0.281	0.139
R2123	0.017	0.538	0.051
R2131	-0.022	0.286	0.141
R2132	-0.058	0.300	0.107
R2133	0.169	0.524	0.101
R2141	-0.002	0.286	0.229
R2142	-0.069	0.308	0.091
R2143	0.173	0.479	0.166
R311	0.078	0.084	0.080
R312	0.077	0.168	0.187
R313	0.044	0.168	0.124
R321	0.017	0.060	0.168
R322	0.038	0.098	0.132
R323	0.192	0.072	0.120
R331	0.022	0.025	0.169
R332	0.044	0.061	0.200
R333	0.137	0.004	0.169
R341	0.108	-0.150	0.131
R342	0.135	-0.103	0.231
R343	0.268	-0.216	0.201
R351	0.048	-0.149	0.134
R352	0.106	-0.157	0.214
R353	0.176	-0.329	0.194
R361	0.006	-0.177	0.126
R362	0.064	-0.123	0.237
R363	0.135	-0.338	0.177
R371	-0.043	-0.129	0.196
R372	-0.006	-0.164	0.148
R373	0.057	-0.286	0.247
R381	-0.112	-0.133	0.181
R382	-0.066	-0.159	0.197
R383	-0.042	-0.204	0.235
R391	-0.168	-0.086	0.142
R392	-0.113	-0.128	0.202
R393	-0.158	-0.244	0.228
R3101	-0.204	-0.002	0.119
R3102	-0.174	-0.116	0.212
R3103	-0.217	-0.153	0.277
R3111	-0.173	0.083	0.021
R3112	-0.195	0.034	0.188
R3113	-0.234	-0.028	0.231
R3121	-0.148	0.117	0.170
R3122	-0.171	0.061	0.159
R3123	-0.130	-0.029	0.232
R3131	-0.205	0.263	0.028
R3132	-0.191	0.125	0.228
R3133	-0.131	0.111	0.210
R3141	-0.154	0.241	0.115
R3142	-0.182	0.229	0.175
R3143	-0.349	0.384	0.177
R3151	-0.133	0.269	0.193
R3152	-0.191	0.245	0.072
R3153	-0.258	0.313	0.164
R3161	-0.114	0.301	0.173
R3162	-0.160	0.287	0.091
R3163	-0.160	0.311	0.094
R3171	-0.024	0.205	0.178
R3172	-0.061	0.271	0.062
R3173	-0.121	0.289	0.116
R3181	0.042	0.188	0.077
R3182	-0.023	0.220	0.137
R3183	0.086	0.279	0.113
R411	-0.143	-0.343	-0.163
R412	-0.173	-0.369	-0.116
R413	-0.257	0.201	-0.128
R421	-0.153	-0.293	-0.106
R422	-0.187	-0.330	-0.162
R423	-0.249	0.256	-0.143
R431	-0.088	-0.259	-0.167
R432	-0.072	-0.343	-0.134
R433	-0.083	0.115	-0.185
R441	-0.075	-0.174	-0.185
R442	-0.094	-0.229	-0.124
R443	-0.149	0.093	-0.145
